file,query,answer
bridge_subgraph_17001.graphml,哪种疾病在奥氮平组治疗中出现腹泻，同时需要阿米替林片药物治疗和常规护理辅助？,失眠
bridge_subgraph_16997.graphml,哪种疾病与脂肪酸结合蛋白（或脂肪细胞型脂肪酸结合蛋白）的异常相关，且在颈围和膀胱癌的实验室检查中常被同时发现？,A-FABP
bridge_subgraph_17005.graphml,哪种疾病在出现最低鼻咽温度和躁动的同时，常与药物因素相关并可能并发帕金森病？,苏醒延迟
bridge_subgraph_17003.graphml,哪种疾病在出现广泛性焦虑和振腹环揉法腹部推拿的同时，还伴随发热和肝功能异常的症状？,失眠
bridge_subgraph_17016.graphml,哪种疾病在出现恶梦夜惊与焦虑的同时，还可能需要心理护理和化疗，并可能与创伤后应激障碍相关？,失眠
bridge_subgraph_17004.graphml,哪种疾病在女性中发病率达12.4%，临床表现为缺血性脑卒中，且常采用针刺配合循经闪罐法进行辅助治疗？,失眠
bridge_subgraph_17014.graphml,哪种医学内容能同时涵盖左心功能下降的康复训练以及与之相关的便秘和心力衰竭问题？,先天性甲状腺功能减退症
bridge_subgraph_17017.graphml,哪种疾病在补脾益气辅助治疗的同时，常见于女性抑郁症患者，且可能与慢性阻塞性肺疾病和血液透析相关？,失眠
bridge_subgraph_17006.graphml,哪种疾病既能由胆道感染性疾病和肿瘤引起，又常需使用镇静剂治疗，且与急性呼吸窘迫综合征密切相关？,ALI/ ARDS
bridge_subgraph_17009.graphml,哪种疾病在进行胸部CT检查或胸部计算机断层成像时，常与新冠肺炎和乏力症状同时出现？,重症新型冠状病毒肺炎
bridge_subgraph_17019.graphml,哪种疾病同时表现为腹痛综合征和四维皆病，且常伴随氟西汀使用和腹胀症状？,功能性腹痛综合征
bridge_subgraph_17013.graphml,哪种疾病在老年人群中常见，既表现为老年痴呆症状，又可能伴随恶性肿瘤，且珍宝丸是其常用治疗药物？,失眠
bridge_subgraph_17010.graphml,哪种疾病会出现老年糖尿病合并抑郁症、呕吐、恶心等症状，且可通过刺激足三里、照海、四神聪、百会穴辅助治疗？,失眠
bridge_subgraph_16999.graphml,哪种疾病在心外膜脂肪组织体积异常（实验室检查）和MVD低表达（临床表现）的情况下，常伴有卒中和原发性高血压的发生？,低危组
bridge_subgraph_17008.graphml,哪种疾病既会导致糖尿病，又可能出现高血压和利培酮组药物的临床表现，并且需要通过匹兹堡睡眠质量指数量表进行辅助检查？,失眠
bridge_subgraph_17011.graphml,哪种疾病在实验室检查中表现为低频活动的功率谱异常，且在辅助治疗中常采用生态治疗，同时可能与肿瘤相关并导致精神障碍？,气功
bridge_subgraph_17021.graphml,哪种疾病可以通过服用三味豆蔻汤散并辅以针灸治疗来改善肾部病症？,失眠
bridge_subgraph_17018.graphml,哪种疾病会出现激素性胃肠道反应和焦虑，通常需要使用滋肾安神汤治疗，并辅以认知行为治疗？,失眠
bridge_subgraph_17007.graphml,哪种疾病最易影响长期每天使用电子产品超过4小时的军官，且在吸烟和性别差异的共同作用下，常需使用催眠类药物进行治疗？,失眠
bridge_subgraph_17015.graphml,哪种疾病既可能导致失眠，又是肝性脑病的风险评估因素，同时通过积极治疗原发病可以预防，并可能出现皮疹这一临床表现？,糖尿病
bridge_subgraph_17022.graphml,哪种疾病会导致骨质增生，并可能引发抑郁，同时伴随心身症状障碍和肥胖的临床表现？,失眠
bridge_subgraph_17012.graphml,哪种疾病最适合通过艾灸、非药物护理干预以及结合心理护理和舒适护理等辅助手段进行治疗？,失眠
bridge_subgraph_17020.graphml,哪种疾病可以通过脾胰耳穴磁珠贴压和针灸治疗失眠（体针辅助治疗），并且常需结合脑电图和经颅多普勒检查及药物治疗？,失眠
bridge_subgraph_17025.graphml,哪种疾病在男性中较为常见，内镜检查后预后较差，且治疗后常伴有腹痛？,胃癌
bridge_subgraph_17024.graphml,哪种疾病在女性中更常见，且表现为腹胀，可能是急性药物性肝病或药物性肝损伤的病理分型？,肝细胞损伤型
bridge_subgraph_17026.graphml,哪种疾病既常伴随失眠和恶性肿瘤死亡，又在使用半夏泻心汤治疗时容易出现乏力症状？,胃癌
bridge_subgraph_17027.graphml,哪种疾病在治疗过程中会同时使用助眠药物如枣仁安神胶囊和阿普唑仑，并可能需要配合维持性血液透析？,失眠
bridge_subgraph_17023.graphml,哪种疾病在进行TESS评价时常见，且在用生地黄治疗的同时，常伴随血脂异常和贫血症状？,失眠
bridge_subgraph_17028.graphml,哪种疾病在沐足和放松疗法的同时，常与HPLC检测和冠心病相关联？,失眠
bridge_subgraph_17032.graphml,哪种疾病更容易与MTHFR C677T突变型及野生型同时出现，是癫痫还是肺癌？,杂合突变型
bridge_subgraph_17031.graphml,哪种疾病在男性且吸烟的人群中，更容易因较差心血管状态和较高的体质指数而发病？,心血管健康
bridge_subgraph_17035.graphml,哪种疾病在采用针刺法辅助治疗的同时，还需要结合高压氧治疗和优质护理，且主要发病部位在皮质下？,失眠
bridge_subgraph_17038.graphml,哪种疾病在出现睡觉饥饿和维持性腹膜透析的同时，还需要通过心电图和血常规进行检查？,失眠
bridge_subgraph_17029.graphml,哪种疾病在老年患者中常伴随失眠，且在采用优质护理与常规护理时，需特别关注患者的睡眠个人信念与态度量表？,失眠
