file,query,answer
bridge_subgraph_04001.graphml,哪种检查能同时用于诊断子宫腺肌病和评估TAS，并且也对结肠癌和2型糖尿病的筛查有帮助？,超声诊断
bridge_subgraph_03993.graphml,哪种检查在中低位直肠癌和cNO甲状腺乳头状癌的诊断中更为关键，是组织学检查还是实验室检查，尤其在早期乳腺癌和乳腺癌的鉴别中也需考虑？,SLN活检
bridge_subgraph_04006.graphml,哪种检查能够同时评估CVC（）、IEGM（）、RA（）以及妇科肿瘤（）的情况？,腔内心电图
bridge_subgraph_04003.graphml,哪种检查能同时用于诊断冠状动脉综合征和胎膜早破，并可能发现脑梗死和肾细胞癌？,血小板淋巴细胞比值
bridge_subgraph_04009.graphml,哪种检查可以同时检测先天性胎儿畸形、肾盂积水以及卵巢囊肿和肿瘤？,超声诊断
bridge_subgraph_04007.graphml,哪种检查能同时有效诊断老年冠心病、右下腹痛以及下肢深静脉血栓和肝癌？,超声诊断
bridge_subgraph_04008.graphml,哪种检查最适合同时诊断急性创伤、非创伤性上肢神经束扭转、腰椎间盘突出症和胃癌？,超声诊断
bridge_subgraph_04004.graphml,哪种检查能同时准确诊断腹部脏器闭合性损伤、单纯室间隔缺损以及食管癌和HCC？,超声诊断
bridge_subgraph_04017.graphml,哪种检查能同时诊断男性乳腺增生症、淋巴结炎以及前列腺疾病和AD？,超声诊断
bridge_subgraph_04011.graphml,哪种检查可以有效评估高血压和PD治疗的同时，还能监测HFRS的发生和死亡风险？,血清肌酐值
bridge_subgraph_04013.graphml,哪种检查能同时准确诊断先天性肺囊腺瘤、单侧肺动脉异常、子宫内膜异位症和肺癌？,超声诊断
bridge_subgraph_04014.graphml,哪种检查能同时诊断CAF、气胸以及卵巢巧克力囊肿和肝癌？,超声诊断
bridge_subgraph_04018.graphml,哪种检查能同时有效诊断甲状舌骨囊肿、原发性心脏肿瘤、脑卒中和卵巢扭转？,超声诊断
bridge_subgraph_04015.graphml,哪种检查能同时有效诊断迟发性脾破裂、坏死性肠套叠、输卵管妊娠和药物流产？,超声诊断
bridge_subgraph_04002.graphml,哪种医学内容与VC（）、双侧尺桡骨缺（）直接相关，且常与乳腺癌（）、甲状旁腺腺瘤（）同时出现？,超声诊断
bridge_subgraph_04005.graphml,哪种检查最适用于同时诊断下腔静脉后输尿管、腔静脉后输尿管、原发性输尿管癌和输尿管中段结石？,逆行尿路造影
bridge_subgraph_04010.graphml,哪种医学内容与巨幼细胞性贫血和线粒体糖尿病直接相关，且常与乳腺癌和缺血性脑卒中同时出现？,焦磷酸测序法
bridge_subgraph_04020.graphml,哪种检查能够有效筛查扩张型心肌病和充血性心力衰竭，同时也能用于诊断先天性心脏病和妊娠高血压综合征？,左室Tei指数
bridge_subgraph_04023.graphml,哪种检查能同时诊断结肠梗阻、部分性葡萄胎以及伴随的静脉血栓和高血压？,超声诊断
bridge_subgraph_04021.graphml,哪种检查最适合用于同时诊断急性冠状动脉综合征、肥胖，以及伴随的高血压和川崎病？,高敏C反应蛋白水平
bridge_subgraph_04022.graphml,哪种检查最准确用于诊断幽门杆菌（HP）感染以及与之相关的消化性溃疡？,14C-尿素呼吸试验
bridge_subgraph_04019.graphml,哪种检查能有效诊断输尿管畸形和病变，同时还能发现肾输尿管畸形及泌尿系统结石？,多层螺旋CT尿路成像
bridge_subgraph_04016.graphml,哪种社会学理论能够有效解释糖尿病的鉴别诊断，并与高血压病的病理分型及心血管疾病的风险评估因素相关联？,高血压
bridge_subgraph_04026.graphml,哪种检查更适合用于诊断多发性骨髓瘤和直肠腺癌，以及同时出现的肿瘤和恶性肿瘤？,WB-DWI检查
bridge_subgraph_04028.graphml,哪种检查能同时有效诊断急性脑梗死、危重手足口病以及肝脏疾病？,血清前白蛋白水平
bridge_subgraph_04012.graphml,哪种医学内容更常与妊娠合并滋养细胞疾病和子宫肌瘤囊性变同时出现，是ASD还是高血压左心室肥厚？,超声诊断
bridge_subgraph_04029.graphml,哪种检查能同时有效诊断肌腱断裂、肝外阻塞性黄疸、急性白血病和结肠癌？,超声诊断
bridge_subgraph_04025.graphml,哪种检查能同时诊断阴道斜隔和PTE，并且在流产或先兆流产的情况下也适用？,超声诊断
bridge_subgraph_04024.graphml,哪种检查能同时发现永存坐骨动脉、输尿管中下段结石、宫腔粘连以及IUD？,超声诊断
bridge_subgraph_04030.graphml,哪种检查既能用于诊断白血病和AMN，又能同时检测获得性免疫缺陷综合征（AIDS）？,眼底彩色照相检查
bridge_subgraph_04031.graphml,哪种检查最适合同时诊断Galen静脉血管瘤、慢性乙型肝炎、肝纤维化和肝硬化？,超声诊断
bridge_subgraph_04034.graphml,哪种检查能够同时用于评估高血压、豚鼠肺泡灌洗液异常，以及乳腺癌和风湿病的诊断？,酶联免疫检测法
bridge_subgraph_04041.graphml,哪种检查能同时诊断先天性的子宫畸形、黏膜下肿瘤以及肾损伤和心绞痛？,超声诊断
bridge_subgraph_04027.graphml,哪种检查能有效诊断慢性荨麻疹和难治性狼疮肾病，并同时适用于肝癌和肾脏疾病的排查？,血清补体C3
bridge_subgraph_04032.graphml,哪种检查既能有效诊断肝脏损伤和眼外伤，又能同时排查肺癌和恶性肿瘤？,超声诊断
bridge_subgraph_04033.graphml,哪种检查能有效筛查社区妇女的乳腺癌、肾癌、子宫内膜癌等四类病变？,超声诊断
bridge_subgraph_04037.graphml,哪种检查能够同时用于诊断DKA和GIST，并且也适用于前列腺癌和HCC的筛查？,nPLR
bridge_subgraph_04039.graphml,哪种检查能同时有效诊断人肺鳞癌、人脑胶质瘤以及结肠癌和肝癌？,CCK-8增殖实验
