file,query,answer
bridge_subgraph_09007.graphml,哪种疾病会在心脏彩超检查中出现异常，并伴随手足硬肿、皮疹和发热等症状？,不典型川崎病
bridge_subgraph_09003.graphml,哪种疾病在衰弱老年人中常见，且可以通过头部穴位按摩、舒适护理和循证护理进行辅助治疗？,失眠
bridge_subgraph_09004.graphml,哪种疾病在采用集束化管理和综合护理干预的情况下，最容易被误诊为小脑血吸虫病而非脑出血？,继发性脑积水
bridge_subgraph_08999.graphml,哪种疾病在PD轻度认知障碍和五子衍宗汤的治疗中，与MCI和认知功能障碍同时出现？,PD-MCI
bridge_subgraph_09005.graphml,哪种疾病在外科治疗后皮瓣成活良好且质地外观佳，且常与骨折和高压氧治疗同时出现？,皮肤缺损
bridge_subgraph_09002.graphml,哪种疾病在药学监护预防过程中，容易出现引流管阻塞、感染以及重度烧伤等并发症？,静脉导管感染
bridge_subgraph_08998.graphml,哪种疾病在中-重度睡眠呼吸紊乱和RFVTR患者中常见，且常伴随多导睡眠监测异常和卒中发生？,SDB
bridge_subgraph_09000.graphml,哪种疾病在5岁以下儿童中常见，且在治疗过程中常结合非创伤性修复治疗技术、安慰剂和常规护理？,乳牙龋齿
bridge_subgraph_09009.graphml,哪种疾病在出现腔隙性脑梗死和胃癌的临床表现时，还可能伴随重症肌无力，并且需要心理护理干预作为辅助治疗？,失眠
bridge_subgraph_09008.graphml,哪种疾病在黄豆摄入过多时，会导致长谷川痴呆量表评分下降，同时伴随汉密尔顿抑郁量表评分升高，且人参对其有一定的缓解作用？,HDS
bridge_subgraph_09011.graphml,哪种疾病在磁共振成像中表现为脑肿瘤，且其治疗可用疏肝安神汤，同时临床表现包括ACI？,失眠
bridge_subgraph_09010.graphml,哪种疾病会导致不能获得充足睡眠，并且在使用六味地黄汤治疗的同时，吸烟和年龄也是重要影响因素？,失眠
bridge_subgraph_09016.graphml,哪种疾病在塞方保洁和Zung's焦虑（SAS）评估中与食管癌和男性群体同时出现？,失眠
bridge_subgraph_09020.graphml,哪种疾病在治疗过程中常采用频谱照射和维生素B1穴位注射，并且需要配合优质护理和综合护理干预？,痔疮术后尿潴留
bridge_subgraph_09012.graphml,哪种疾病在进行CDE检查和彩色超声联合X线钼靶检查时，常伴随磁共振成像结果异常及抑郁情绪的出现？,乳腺良恶性肿瘤
bridge_subgraph_09018.graphml,哪种疾病在习惯性便秘和HAMA患者中常见，且常与中药和高压氧治疗同时使用？,失眠
bridge_subgraph_09015.graphml,哪种疾病会导致植物神经功能紊乱性头晕，同时伴随疲乏和呕吐，且可以通过百乐眠进行治疗？,失眠
bridge_subgraph_09025.graphml,哪种疾病在常见慢性病中，老年男性患者较多，且常与糖尿病等其他慢性病同时出现？,体重正常组
bridge_subgraph_09014.graphml,哪种疾病会导致全身瘙痒，并且其发病率约为2.86%，在治疗过程中常与丹参注射液联用，同时需要通过酶联免疫吸附试验进行辅助诊断？,妊娠肝内胆汁淤积症
bridge_subgraph_09022.graphml,哪种疾病在采用电针法及电针结合康复作为辅助治疗的同时，也常使用针灸疗法和针灸进行辅助治疗？,中风后偏瘫
bridge_subgraph_09017.graphml,哪种疾病在19%的患者中同时出现血常规异常和脑梗死，并且与安全感问卷得分低相关？,失眠
bridge_subgraph_09013.graphml,哪种疾病在治疗时通常会采用泼尼松联合托吡酯或促皮质素剂量递增法，并且可能同时使用硝西泮和进行脑电图检查？,婴儿痉挛
bridge_subgraph_09024.graphml,哪种疾病会导致阿立哌唑组出现头痛和心悸，同时伴随腹胀，且可能与环境因素有关？,失眠
bridge_subgraph_09021.graphml,哪种疾病在进行χ2检验和t检验时，常与帕金森病和慢性乙型肝炎同时出现？,统计学分析
bridge_subgraph_09027.graphml,哪种疾病在RAS组检测和超声检查中常见，并且常伴随地西泮使用和肝、肾功能异常？,桡动脉痉挛
bridge_subgraph_09019.graphml,哪种疾病在治疗过程中常需使用睡眠药和脑电生物反馈，并且需要特别的护理措施，同时可能伴随肾衰的出现？,失眠
bridge_subgraph_09029.graphml,哪种疾病在男性患者中常与心力衰竭同时出现，且对安慰剂治疗有显著反应？,失眠
bridge_subgraph_09023.graphml,哪种疾病在辅助治疗中常采用针刺加耳穴和健康教育，且患者通常表现为入睡快，同时需要监测体重指数？,失眠
bridge_subgraph_09033.graphml,哪种疾病在采用外用针刺和养阴清热法治疗的同时，还需要配合综合护理干预，而不是仅依赖常规护理？,失眠
bridge_subgraph_09028.graphml,哪种疾病在3岁以上儿童中常见，且需通过鼻咽侧位片和磁共振检查，常伴有慢性鼻窦炎？,儿童腺样体肥大
