file,query,answer
bridge_subgraph_26998.graphml,哪种疾病在塌陷骨折复位及多层螺旋CT三维重建过程中，常与肺栓塞一同出现并需要特别护理干预？,胫骨平台骨折
bridge_subgraph_26995.graphml,哪种疾病多发于中老年人但发病年龄可小于45岁，且在治疗中需注重心理护理，同时骨质疏松是其高危因素？,慢性胃病
bridge_subgraph_26994.graphml,哪种疾病在治疗过程中需要采用棒状玻璃骨植骨手术和患膝关节功能锻炼，并且通常需要通过X线及多层螺旋CT进行影像学检查？,胫骨平台骨折
bridge_subgraph_27000.graphml,哪种疾病在股骨远端发病，常伴随感染，并且包括胫骨平台骨折和闭合性骨折这两种病理分型？,骨折
bridge_subgraph_27008.graphml,哪种疾病在采用Link钢板加植骨或关节镜辅助经皮接骨板内固定手术治疗后，还需要配合常规护理和护理干预进行辅助治疗？,胫骨平台骨折
bridge_subgraph_27005.graphml,哪种疾病在治疗过程中需要结合多向锁定带锁髓内钉固定治疗和系统心理护理，并且通常需要进行CT检查和手术治疗？,胫骨平台骨折
bridge_subgraph_27012.graphml,哪种疾病在采用开窗夯实植骨钢板内固定治疗和切开手术的同时，还需要特别重视围手术期护理？,胫骨平台骨折
bridge_subgraph_27011.graphml,哪种疾病在进行大鼠显像和甘露醇治疗的同时，还需通过透射电镜检查和针刺辅助治疗？,缺血损伤
bridge_subgraph_27004.graphml,哪种疾病在治疗过程中常需采用带锁髓内钉内固定、旋入式自锁髓内钉或交锁髓内钉手术治疗，并需通过X线平片进行影像学检查？,下肢长骨骨折
bridge_subgraph_27014.graphml,哪种疾病在孕期保健中需要同时进行心理护理和饮食护理，并且药物治疗主要采用皮下注射混合胰岛素？,妊娠期合并糖尿病
bridge_subgraph_27017.graphml,哪种疾病在Ⅰ型骨折术后需要特别重视膝关节损伤的MRI检查和营养支持？,胫骨平台骨折
bridge_subgraph_27003.graphml,哪种医学内容在诊断中与FISH、CT及尿脱落细胞学直接相关，且常与CT及多层螺旋CT同时出现？,上尿路尿路上皮细胞癌
bridge_subgraph_27019.graphml,哪种疾病在治疗过程中通常需要接受开放性手术和功能锻炼，且诊断时常常同时使用X线和CT进行检查？,胫骨平台骨折
bridge_subgraph_27009.graphml,哪种疾病适合采用膝关节镜辅助下微创手术治疗或锁定钢板联合普通钢板治疗，且常伴随切开复位内固定治疗和关节内骨折的情况？,胫骨平台骨折
bridge_subgraph_27010.graphml,哪种疾病在螺旋CT三维重建图像检查后，常需通过经皮锁定钢板内固定术治疗，并且需要配合整体护理和常规护理？,胫骨平台骨折
bridge_subgraph_27015.graphml,哪种疾病在进行多层螺旋CT三维重建后，常需要通过钢板固定手术治疗，并在围手术期进行护理干预以辅助治疗？,胫骨平台骨折
bridge_subgraph_27018.graphml,哪种疾病在采用单双号抽签分组法进行实验室检查、手术治疗中涉及手术切口，并且通常需要通过X线和CT进行影像学检查？,胫骨平台骨折
bridge_subgraph_27016.graphml,哪种疾病在进行尿道前列腺汽化电切术或部分性经尿道前列腺电切术后，需要使用抗生素来预防感染？,高危BPH
bridge_subgraph_27026.graphml,哪种疾病在诊治过程中较为复杂，且常需诱导骨基质植入治疗，同时磁共振成像在其诊断中发挥重要作用？,胫骨平台骨折
bridge_subgraph_27007.graphml,哪种疾病在采用经皮钢板固定技术或手术切开复位内固定治疗后，容易出现感染并发症，且需通过MRI进行影像学检查？,胫骨平台骨折
bridge_subgraph_27021.graphml,哪种疾病在新生儿中易感，且常伴随血清CRP升高、DVT风险增加，并通过CT检查进行诊断？,TT基因型
bridge_subgraph_27023.graphml,哪种疾病会导致膝关节僵直，并需要通过前正中入路手术进行治疗，同时在诊断过程中常需借助磁共振成像和CT检查？,胫骨平台骨折
bridge_subgraph_27022.graphml,哪种疾病在发生急性桡骨头骨折或桡骨头骨折时，通常需要通过X线片检查或X线进行影像学诊断？,桡尺远侧关节脱位
