file,query,answer
subgraphs_batch_051_textual_subgraph_0308.graphml,Which actor has won awards for his role in Gosford Park and is also known for appearing in films like The Bourne Identity and King Arthur?,Clive Owen
subgraphs_batch_051_textual_subgraph_0305.graphml,"Which individual is associated with the films ""True Grit,"" ""Sense and Sensibility,"" ""The Painted Veil,"" and ""Almost Famous""?",Period piece
subgraphs_batch_051_textual_subgraph_0306.graphml,"Who is the individual that has won awards for the films ""Atonement"" and ""Elizabeth,"" and is also married to Joely Richardson and received award nominations for ""Frost/Nixon""?",Tim Bevan
subgraphs_batch_051_textual_subgraph_0314.graphml,"Which actress has been nominated for awards alongside Mark Ruffalo and has appeared in films such as ""Lost in Translation,"" ""The Other Boleyn Girl,"" and ""The Prestige""?",Scarlett Johansson
subgraphs_batch_051_textual_subgraph_0315.graphml,"What genre connects the films ""Dogville,"" ""The Red Violin,"" ""Bury My Heart at Wounded Knee,"" and ""Gia""?",Period piece
subgraphs_batch_051_textual_subgraph_0302.graphml,"What is the term used to describe a genre that includes movies like ""War and Peace-GB,"" ""Days of Heaven,"" and ""The Aviator,"" and is also associated with films in the genre of Ali?",Period piece
subgraphs_batch_051_textual_subgraph_0312.graphml,"Which entity is associated with the films ""Me and Orson Welles,"" ""The Last Picture Show,"" ""Cold Mountain,"" and ""The English Patient""?",Period piece
subgraphs_batch_051_textual_subgraph_0318.graphml,"Who is the male celebrity associated with Elisha Cuthbert, nominated for an award related to ""Milk,"" and appeared in the film ""Taking Woodstock""?",Emile Hirsch
subgraphs_batch_051_textual_subgraph_0313.graphml,"Which individual is associated with the films ""JFK,"" ""The Red Violin,"" ""Anne of the Thousand Days,"" and ""Women in Love""?",Period piece
subgraphs_batch_051_textual_subgraph_0304.graphml,"Which actress has been nominated for awards for her roles in ""Iron Man 2"" and alongside Joseph Fiennes, and has also won awards for ""Shakespeare in Love"" and appeared in ""Mrs. Parker and the Vicious Circle""?",Gwyneth Paltrow
subgraphs_batch_051_textual_subgraph_0311.graphml,"What type of media production is associated with titles like ""Alice in Wonderland,"" ""An Early Frost,"" and ""The Gathering Storm-GB,"" and also linked to the film genre ""Ballet Shoes""?",Television film
subgraphs_batch_051_textual_subgraph_0319.graphml,"What is the term used to describe a film that shares characteristics with ""The Red Violin,"" ""Swimming Upstream,"" and ""Milk,"" and falls under the genre of ""The Reader""?",Period piece
subgraphs_batch_051_textual_subgraph_0320.graphml,"Which historical period piece, known for its adaptations of ""The Man in the Iron Mask"" and ""Sense and Sensibility,"" is also connected to ""Vanity Fair"" and ""Bel Ami""?",Period piece
subgraphs_batch_051_textual_subgraph_0322.graphml,"Who is the actor from Great Britain who was nominated for an award alongside Mary Kay Place, and is also connected to the film ""The End of the Affair"" and served as an executive producer for the film ""Good""?",Jason Isaacs
subgraphs_batch_051_textual_subgraph_0321.graphml,"What genre encompasses films such as ""Atonement,"" ""The Red Violin,"" and is also related to ""Lust, Caution"" and ""Taking Woodstock""?",Period piece
subgraphs_batch_051_textual_subgraph_0317.graphml,"Who is the individual that has been nominated for a BAFTA Award for Best Sound for ""Terminator 2: Judgment Day"" and was also involved in the crew of ""Breakfast on Pluto"" and received award nominations for ""War Horse""?",Tom Johnson
subgraphs_batch_051_textual_subgraph_0326.graphml,"What entity is associated with the films ""True Grit,"" ""Dogville,"" ""The Talented Mr. Ripley,"" and the genre of ""Far from Heaven""?",Period piece
subgraphs_batch_051_textual_subgraph_0307.graphml,"Which individual is known for their involvement in the films ""Dangerous Liaisons"" and ""Bel Ami,"" as well as being connected to ""The Quiet American"" and the genre of ""Mao's Last Dancer""?",Period piece
subgraphs_batch_051_textual_subgraph_0323.graphml,"What is the common element that connects the films ""Amistad,"" ""The Red Violin,"" ""The Talented Mr. Ripley,"" and the genre of ""The New World""?",Period piece
subgraphs_batch_051_textual_subgraph_0328.graphml,"What genre of film is associated with both ""A Passage to India"" and ""The Red Violin,"" and also shares a connection with ""The Passion of the Christ"" and ""Schindler's List""?",Period piece
subgraphs_batch_051_textual_subgraph_0337.graphml,"Which actor, born in England, has been nominated for awards and is known for his roles in the films ""Vanity Fair"" and ""Enemy at the Gates""?",Bob Hoskins
subgraphs_batch_051_textual_subgraph_0329.graphml,"Which media entity is associated with titles like ""Far from Heaven,"" ""The Red Violin,"" ""Days of Heaven,"" and ""The Assassination of Jesse James by the Coward Robert Ford""?",Period piece
subgraphs_batch_051_textual_subgraph_0324.graphml,"Which entity is associated with the films ""The Red Violin,"" ""I Shot Andy Warhol,"" and ""A Passage to India,"" and also linked to the genre of ""The Piano""?",Period piece
subgraphs_batch_051_textual_subgraph_0332.graphml,"Who is the male individual that has been nominated for an award named David Brown and also executive produced the films ""The Human Stain"" and ""Mansfield Park""?",Harvey Weinstein
