file,query,answer
subgraphs_batch_046_textual_subgraph_0304.graphml,"Which film has won the Razzie Award for Worst Supporting Actress, features cinematography by Robert Richardson, is classified as a drama, and is primarily in the English language?",Wall Street
subgraphs_batch_046_textual_subgraph_0308.graphml,"Which film was written by Oliver Stone, features music by Stewart Copeland, has won the Academy Award for Best Actor, and falls under the genre of drama?",Wall Street
subgraphs_batch_046_textual_subgraph_0310.graphml,"Which film, set in Johannesburg and featuring a Special Effects Supervisor, is both related to the United States of America and classified as a Drama?",Invictus
subgraphs_batch_046_textual_subgraph_0317.graphml,"Which film was produced by John Davis, released by 20th Century Fox, and is available on DVD in the English language?",Wall Street
subgraphs_batch_046_textual_subgraph_0316.graphml,"Which action film, released in Austria and also available on DVD, was primarily filmed in English?",National Security
subgraphs_batch_046_textual_subgraph_0315.graphml,"Which film, produced by Kathleen Kennedy, won the Razzie Award for Worst Supporting Actress, was released in the United States, and is in the English language?",Wall Street
subgraphs_batch_046_textual_subgraph_0314.graphml,"Which film, produced by John Davis and released in the United States, had a nominee for the Razzie Award for Worst Supporting Actress?",Wall Street
subgraphs_batch_046_textual_subgraph_0307.graphml,"Which period piece film, produced by Marshall Herskovitz and also available on DVD, falls under the drama genre?",Legends of the Fall
subgraphs_batch_046_textual_subgraph_0319.graphml,What is the name of the family film distributed by Universal Studios and released on DVD in the United Kingdom?,The Water Horse: Legend of the Deep
subgraphs_batch_046_textual_subgraph_0305.graphml,"Which film was edited by Chris Lebenzon, featured cinematography by Robert Richardson, belongs to the drama genre, and was released in the United States?",Wall Street
subgraphs_batch_046_textual_subgraph_0324.graphml,"Which film, released in France and directed by Neil Jordan, features English dialogue and had a nominee for the Academy Award for Best Actor?",The Crying Game
subgraphs_batch_046_textual_subgraph_0321.graphml,"Which film won the Razzie Award for Worst Supporting Actress, was written by Oliver Stone, released on DVD, and falls under the drama genre?",Wall Street
subgraphs_batch_046_textual_subgraph_0325.graphml,"Which film, set in London and produced by Yash Raj Films, has won awards and is known for its English language and dramatic genre?",Dilwale Dulhania Le Jayenge
subgraphs_batch_046_textual_subgraph_0323.graphml,"Which experimental film, shot in Warsaw and related to the United States, was made in the English language?",Inland Empire
subgraphs_batch_046_textual_subgraph_0312.graphml,"Who is the artist who was born in Bay City, has lived in New York City, is affiliated with the United States Dollar, and has been nominated for the Grammy Award for Record of the Year?",Madonna
subgraphs_batch_046_textual_subgraph_0320.graphml,"Which film, known for its biographical genre and released on DVD in the United States, earned its lead actress the London Film Critics Circle Award for Actress of the Year?",La Vie en Rose
subgraphs_batch_046_textual_subgraph_0313.graphml,"Which film won the Independent Spirit Award for Best Supporting Male, is a period piece, has an estimated budget in United States Dollars, and is also known for its dramatic title?",Drugstore Cowboy
subgraphs_batch_046_textual_subgraph_0327.graphml,"Which film was produced by Walt Disney, featured film art direction by Carroll Clark, is in the English language, and is associated with the United States of America?",Mary Poppins
subgraphs_batch_046_textual_subgraph_0309.graphml,"Which film, featuring a performance that won both the National Board of Review Award for Best Actor and the Academy Award for Best Actor, was also written by Oliver Stone and earned its supporting actress a Razzie Award for Worst Supporting Actress?",Wall Street
subgraphs_batch_046_textual_subgraph_0318.graphml,"Which film, featuring a sound mixer as part of its crew and classified as a thriller, is associated with the United States and had a release date on DVD?",Public Enemies
subgraphs_batch_046_textual_subgraph_0326.graphml,"Which animated film, produced by DreamWorks Animation and having won multiple awards, was released in Finland and the United States, and also made available on DVD?",Rise of the Guardians
subgraphs_batch_046_textual_subgraph_0322.graphml,"Who is the person that counts Elton John among their celebrity friends, was nominated for awards alongside Dimitri Tiomkin, has been nominated for the Razzie Award for Worst Supporting Actress, and speaks the English language?",Elizabeth Taylor
