file,query,answer
subgraphs_batch_037_textual_subgraph_0146.graphml,"Who is the artist who has been nominated for the MTV Video Music Award for Best R&B Video, has their official website listed, is signed to Jive Records, and shares award nominations with Fat Joe?",Ashanti
subgraphs_batch_037_textual_subgraph_0169.graphml,"Which NFL team has an official website, features a cornerback on its sports roster, and has drafted players from both Florida State University and Michigan State University?",Detroit Lions
subgraphs_batch_037_textual_subgraph_0167.graphml,"Which film features Colin Farrell and has won awards for both Robert Duvall and T-Bone Burnett, including a Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role?",Crazy Heart
subgraphs_batch_037_textual_subgraph_0161.graphml,"Which prestigious theater award has been won by both John Patrick Shanley and Terrence McNally, and also saw nominations for Anna Deavere Smith and another win for Harold Pinter?",Tony Award for Best Play
subgraphs_batch_037_textual_subgraph_0174.graphml,"Which animated adventure TV show, featuring Rachael Leigh Cook in its regular cast, was broadcasted on The WB network?",Batman Beyond
subgraphs_batch_037_textual_subgraph_0165.graphml,"Which film, produced by Judd Apatow and Relativity Media, has its official website and is related to the United States of America?",Pineapple Express
subgraphs_batch_037_textual_subgraph_0171.graphml,"Which film was executive produced by Richard Curtis, released on DVD, stars Alec Baldwin, and received award nominations from Universal Studios?",Notting Hill
subgraphs_batch_037_textual_subgraph_0172.graphml,"What film features music by Michael Jackson, stars Larenz Tate, and was released on DVD, also being associated with the drama genre on TV?",The Women of Brewster Place
subgraphs_batch_037_textual_subgraph_0182.graphml,"Who is the individual that was born in White Plains, lived in Buffalo, and starred in the film ""Battleground""?",James Whitmore
subgraphs_batch_037_textual_subgraph_0170.graphml,"Which prestigious award, won by Whoopi Goldberg and for which Joan Rivers and Sherri Shepherd received nominations, is associated with the 38th Daytime Emmy Awards?",Daytime Emmy Award for Outstanding Talk Show Host
subgraphs_batch_037_textual_subgraph_0173.graphml,"Which film, featuring Debbie Reynolds and with a sound mixer as part of its crew, was made in the United States and had an estimated budget in United States Dollars?",In & Out
subgraphs_batch_037_textual_subgraph_0175.graphml,"Which language is spoken in both the Holy Roman Empire and Belgium, and is also associated with Jane Seymour and featured in the film ""Deuce Bigalow: European Gigolo""?",Dutch Language
subgraphs_batch_037_textual_subgraph_0177.graphml,"Which country operates under a presidential system, shares a border with Guinea-Bissau, uses the United States Dollar as its nominal GDP currency, and is a member of the World Bank?",Guinea
subgraphs_batch_037_textual_subgraph_0184.graphml,"Which entertainment company, known for its involvement in producing films like Star Trek and Evan Almighty, is based in California and operates within the film industry?",Spyglass Entertainment
subgraphs_batch_037_textual_subgraph_0179.graphml,Who is the audio engineer that was nominated for awards alongside Tom Fleischman and worked on the films Big Fish and I Am Legend?,Skip Lievsay
subgraphs_batch_037_textual_subgraph_0178.graphml,"Which film won the Saturn Award for Best Director, was released in China, features Montreal as a filming location, and is distributed by Warner Bros. Entertainment?",300
subgraphs_batch_037_textual_subgraph_0181.graphml,"Which artist has an official website known as Common's webpage, has been nominated for a Grammy Award for Best Music Film, and is associated with both EMI and Parlophone?",Duran Duran
subgraphs_batch_037_textual_subgraph_0186.graphml,"Which film was released in Portugal, primarily spoken in French, and received award nominations from IFC Films while also being featured at the Berlin International Film Festival?",Cave of Forgotten Dreams
subgraphs_batch_037_textual_subgraph_0185.graphml,"Which film, executive produced by Steven Spielberg, falls under the comedy genre, was distributed by Universal Studios, and had its estimated budget in United States Dollars?",Back to the Future
subgraphs_batch_037_textual_subgraph_0188.graphml,"Which country speaks Spanish, borders the Pacific Ocean, is a member of the United Nations, and uses the United States Dollar as its GDP nominal per capita?",Nicaragua
subgraphs_batch_037_textual_subgraph_0176.graphml,"Which actor, known for their role in a period piece, has won the Los Angeles Film Critics Association Award for Best Actor and has been nominated for awards by Fox Searchlight Pictures, with the film being produced by American Zoetrope?",Kinsey
subgraphs_batch_037_textual_subgraph_0189.graphml,"What entertainment entity is associated with titles like Justice League and Freakazoid!, and also connected to shows such as SpongeBob SquarePants and the genre of Kid vs. Kat?",Cartoon
subgraphs_batch_037_textual_subgraph_0192.graphml,"Which film features Steve Martin and Richard Pryor, and was distributed on VHS with an official website?",The Muppet Movie
subgraphs_batch_037_textual_subgraph_0191.graphml,"Which institution has an official website known as Common's webpage, uses scarlet as one of its colors, and is located in Texas, specifically associated with Texas Tech University?",Texas Tech University
subgraphs_batch_037_textual_subgraph_0198.graphml,"Which record label is associated with artists such as Warren Zevon, Walter Becker, Brian Wilson, and MC Hammer?",Giant Records
subgraphs_batch_037_textual_subgraph_0187.graphml,"Who is the composer born in New York City, known for their work on the music of ""The Avengers"" and ""Van Helsing,"" and has been nominated for awards related to ""Lilo & Stitch""?",Alan Silvestri
subgraphs_batch_037_textual_subgraph_0180.graphml,"Which actor, celebrated for his role in ""The Pride of the Yankees"" and associated with notable figures like Patricia Neal, Rich Little, and Marlene Dietrich, remains unidentified in this context?",Gary Cooper
subgraphs_batch_037_textual_subgraph_0202.graphml,"What film, adapted from a story by Roald Dahl and featuring Gene Wilder, is primarily in the French language?",Willy Wonka & the Chocolate Factory
subgraphs_batch_037_textual_subgraph_0195.graphml,"Who is the person that was born in Washington, D.C., is affiliated with the film ""Revolutionary Road,"" and has been nominated for awards alongside Robert Iler?",Max Casella
subgraphs_batch_037_textual_subgraph_0193.graphml,"Which player is known for being on the rosters of both the Atlanta Braves and the Cincinnati Reds, as well as having affiliations with the Texas Rangers and the San Francisco Giants?",Second baseman
subgraphs_batch_037_textual_subgraph_0190.graphml,"Which film features art direction by Peter Lamont, cinematography by Oswald Morris, has an estimated budget in United States Dollars, and is based on a story by Ian Fleming?",The Man with the Golden Gun
subgraphs_batch_037_textual_subgraph_0196.graphml,"Which film, primarily in Spanish, has won both the Goya Award for Best Film and the Academy Award for Best Foreign Language Film, and was distributed by Warner Bros. Entertainment?",All About My Mother
subgraphs_batch_037_textual_subgraph_0194.graphml,"Which team has an official website known as Common's webpage, drafted players in the 2006 Major League Baseball Draft, and is also connected to draft picks from Loyola University New Orleans and the University of South Carolina?",Texas Rangers
subgraphs_batch_037_textual_subgraph_0201.graphml,"Who is the person who has been married, lived in San Francisco, was nominated for a Razzie Award for Worst Supporting Actor, and graduated from Stanford University?",Raymond Burr
subgraphs_batch_037_textual_subgraph_0199.graphml,"Who is the person that was born in Alexandria, starred in the film Bolt, and is a graduate of the North Carolina School of the Arts?",Diedrich Bader
subgraphs_batch_037_textual_subgraph_0197.graphml,"Which film has a release date on DVD, features a Visual Effects Supervisor in its crew, has an estimated budget in United States Dollars, and received an award nomination for Thomas Newman?",Road to Perdition
subgraphs_batch_037_textual_subgraph_0200.graphml,"Which film features cinematography by Harry Stradling, was shot in New York City, had its estimated budget in United States Dollars, and was distributed by Columbia Pictures?",Funny Girl
subgraphs_batch_037_textual_subgraph_0206.graphml,"Which film, directed by Jay Roach and featuring Denis Leary, has a DVD release date and includes personal appearances by George W. Bush?",Recount
subgraphs_batch_037_textual_subgraph_0207.graphml,"Which musical artist regularly performs with both Fiddle and Soprano, and is also associated with groups like Boyz II Men and 'N Sync?",Tenor-GB
subgraphs_batch_037_textual_subgraph_0203.graphml,"Who is the individual that was born in Providence, has won awards like Eric Roth, and is a graduate of Loyola Marymount University?",Brian Helgeland
subgraphs_batch_037_textual_subgraph_0205.graphml,"Which film has won both the Academy Award for Best Cinematography and the National Society of Film Critics Award for Best Supporting Actor, and is associated with Warner Bros. Entertainment and features Gene Wilder?",Bonnie and Clyde
subgraphs_batch_037_textual_subgraph_0213.graphml,"Who was the person born in Chicago, affiliated with Capitol Records, and passed away in Santa Monica?",Nat King Cole
subgraphs_batch_037_textual_subgraph_0210.graphml,"Which actor has appeared in the films ""Get Smart"" and ""A Bridge Too Far"" and is also an alumnus of Michigan State University?",James Caan
subgraphs_batch_037_textual_subgraph_0208.graphml,"Which award is associated with acting disciplines, has nominees like ""The Sea Inside"" and ""The Orphanage,"" and includes Nicole Kidman among its award nominations?",Goya Award for Best Actress
subgraphs_batch_037_textual_subgraph_0211.graphml,"Who is the person that was born in Denmark, speaks Danish, and is affiliated with both Erika Christensen and Jerry Garcia?",Swedes
subgraphs_batch_037_textual_subgraph_0212.graphml,"Which genre of music is associated with artists such as Nat King Cole, Burt Bacharach, Andrea Bocelli, and Donny Osmond?",Vocal music
subgraphs_batch_037_textual_subgraph_0216.graphml,"Which academic degree is held by individuals who have studied at the University of Chicago, University of Otago, Yale Law School, and Georgetown University?",Master of Laws
subgraphs_batch_037_textual_subgraph_0214.graphml,"Which country had athletes compete in the 2012 Summer Olympics, is associated with the French language, and is a member of both the United Nations and the World Bank?",Equatorial Guinea
subgraphs_batch_037_textual_subgraph_0204.graphml,"Which screenwriter has been nominated for both the Razzie Award for Worst Screenplay and the Academy Award for Best Writing Adapted Screenplay, and is also associated with the film ""The Good Shepherd"" and graduated from the University of California, Los Angeles?",Eric Roth
subgraphs_batch_037_textual_subgraph_0218.graphml,"Which actor, known for their role in the film ""Boys Don't Cry"" and for appearing in ""New Year's Eve,"" shares a connection with Leonardo DiCaprio?",Hilary Swank
subgraphs_batch_037_textual_subgraph_0217.graphml,"Who is the English filmmaker known for the movie ""Sunday Bloody Sunday"" and has been both honored with the BAFTA Academy Fellowship Award and nominated for a Razzie Award for Worst Director?",John Schlesinger
subgraphs_batch_037_textual_subgraph_0219.graphml,"Which country is known for exporting goods to Greece, has a connection to Tirana, and its Gross National Income per capita is measured in United States Dollars?",Albania
subgraphs_batch_037_textual_subgraph_0227.graphml,"Which author was influenced by Mary Shelley, Edgar Allan Poe, Neil Gaiman, and Stephen King?",Ray Bradbury
subgraphs_batch_037_textual_subgraph_0221.graphml,"Which film, known for its dramatic genre and featuring a notable sound mixer, was produced by both Relativity Media and Universal Studios?",Green Zone
subgraphs_batch_037_textual_subgraph_0220.graphml,"Which film features the genre of thriller, includes special effects in its crew, has music composed by Basil Poledouris, and was produced by Touchstone Pictures?",Starship Troopers
subgraphs_batch_037_textual_subgraph_0223.graphml,"Which award has been won by Julian Fellowes and has nominees including Sherlock and John Adams, and falls under the Primetime Emmy category?","Primetime Emmy Award for Outstanding Writing - Miniseries, Movie or Dramatic Special"
subgraphs_batch_037_textual_subgraph_0222.graphml,"Which actor has appeared in movies such as ""Butch Cassidy and the Sundance Kid,"" ""Tombstone,"" ""Ghost Rider,"" and ""The Golden Compass""?",Sam Elliott
subgraphs_batch_037_textual_subgraph_0224.graphml,"Which film features Kris Kristofferson and has Brian Eno handling the music, while also being a mystery genre and supervised by a notable visual effects expert?",The Jacket
subgraphs_batch_037_textual_subgraph_0209.graphml,"Which actor has been nominated for awards for their role in ""The Hurt Locker"" and ""Eagle Eye,"" and has also won awards for their performance in a film alongside Ralph Fiennes?",Anthony Mackie
subgraphs_batch_037_textual_subgraph_0234.graphml,Which entity has an official website and is associated with both the University of Queensland for international tuition and Macquarie University for local tuition?,Australian dollar
subgraphs_batch_037_textual_subgraph_0225.graphml,"Who is the songwriter from Great Britain who has been nominated for awards related to both Howard the Duck and The Santa Clause 2, and is also affiliated with Middle Tennessee State University as a graduate?",George S. Clinton
subgraphs_batch_037_textual_subgraph_0231.graphml,"What genre of music is both a subgenre of Thrash metal and Heavy metal, and is associated with artists like Sepultura and Rob Zombie?",Groove metal
subgraphs_batch_037_textual_subgraph_0228.graphml,"Which award has recognized films such as ""Spirited Away,"" ""Star Trek II: The Wrath of Khan,"" ""28 Days Later,"" and ""Contact"" for their exceptional writing?",Saturn Award for Best Writing
subgraphs_batch_037_textual_subgraph_0235.graphml,What film featuring Gillian Anderson was released in both Poland and the United States and also premiered at the Toronto International Film Festival?,The House of Mirth
subgraphs_batch_037_textual_subgraph_0226.graphml,"Which film, supervised by a special effects expert and honored with the Writers Guild of America Award for Best Adapted Screenplay, was distributed by Fox Searchlight Pictures and had its budget estimated in United States Dollars?",Sideways
subgraphs_batch_037_textual_subgraph_0215.graphml,"Who is the multi-talented individual that excels both as a songwriter from Great Britain and a film director, and is known to have connections with the United States Dollar and counts Leonardo DiCaprio among their celebrity friends?",Vincent Gallo
subgraphs_batch_037_textual_subgraph_0233.graphml,"Which film was released in France, falls under the genre of black comedy, and was featured at both the 2009 Sundance Film Festival and the Berlin International Film Festival?",Mary and Max
subgraphs_batch_037_textual_subgraph_0229.graphml,"Which artist is known for their association with Scorpions, has a connection to Mercury Records, and shares a link with Hanover as mentioned on their webpage?",Official Website
subgraphs_batch_037_textual_subgraph_0232.graphml,"Which location in New York, associated with the United States Department of Housing and Urban Development and situated in the Eastern Time Zone, is closely related to the United States of America?",Mount Vernon
subgraphs_batch_037_textual_subgraph_0230.graphml,"Which country is bordered by Chad, has its literature classified under the Library of Congress system, is a member of the United Nations, and is known for its association with the Olympic sport of Taekwondo?",Central African Republic
subgraphs_batch_037_textual_subgraph_0236.graphml,"Who is the artist that has an official website called Common's webpage, contributed to tracks featuring the piano, is affiliated with Philips Records, and was born in North Carolina?",Nina Simone
subgraphs_batch_037_textual_subgraph_0240.graphml,"Who is the actor known for starring in the film ""Ghost"" and nominated for a Razzie Award for Worst Actor, who was also born in Houston?",Patrick Swayze
